"Date","year","month","Local.Site.Name","County","meanlatitude","meanlongitude","PM2.5","Ozone"
2024-01-16,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,31,NA
2024-01-16,2024,1,"Linville Falls","Avery",35.972347,-81.933072,17,NA
2024-01-16,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,39,NA
2024-01-16,2024,1,"Millbrook School","Wake",35.856111,-78.574167,38,29
2024-01-16,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,29,NA
2024-01-16,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,32,NA
2024-01-17,2024,1,"Bryson City","Swain",35.434767,-83.442133,12,NA
2024-01-17,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,36,NA
2024-01-17,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,40,NA
2024-01-17,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,55,NA
2024-01-17,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,30
2024-01-17,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,26,NA
2024-01-17,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
2024-01-17,2024,1,"Millbrook School","Wake",35.856111,-78.574167,29,31
2024-01-17,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,20,NA
2024-01-17,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,22,NA
2024-01-18,2024,1,"Bryson City","Swain",35.434767,-83.442133,32,NA
2024-01-18,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,40.5,NA
2024-01-18,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,54,NA
2024-01-18,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,56,NA
2024-01-18,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,39,33
2024-01-18,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,41,NA
2024-01-18,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,39,NA
2024-01-18,2024,1,"Millbrook School","Wake",35.856111,-78.574167,47,32
2024-01-18,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,38,NA
2024-01-18,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,44,NA
2024-01-19,2024,1,"Bryson City","Swain",35.434767,-83.442133,22,NA
2024-01-19,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,37,NA
2024-01-19,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,31.5,NA
2024-01-19,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,60,NA
2024-01-19,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,15,NA
2024-01-19,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,34.5,33
2024-01-19,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,33.5,NA
2024-01-19,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,27,NA
2024-01-19,2024,1,"Linville Falls","Avery",35.972347,-81.933072,23,NA
2024-01-19,2024,1,"Millbrook School","Wake",35.856111,-78.574167,41.5,33
2024-01-19,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,34,NA
2024-01-19,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,43,NA
2024-01-20,2024,1,"Bryson City","Swain",35.434767,-83.442133,12,NA
2024-01-20,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,43.5,NA
2024-01-20,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,31,NA
2024-01-20,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,55,NA
2024-01-20,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,27,32
2024-01-20,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,29,NA
2024-01-20,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
2024-01-20,2024,1,"Millbrook School","Wake",35.856111,-78.574167,26.5,31
2024-01-20,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,25,NA
2024-01-20,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,23,NA
2024-01-21,2024,1,"Bryson City","Swain",35.434767,-83.442133,30,NA
