"CAS Number","Chemical Name","Species Common Name","Effect","Effect Measurement","Endpoint","Year","Records","Citation"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Maltase 1 mRNA","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Neprilysin-4-like mRNA","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Neprilysin-4-like mRNA","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Mortality","Mortality","LC50","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Mortality","Survival","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Beetle","Population","Abundance","LOEL","2017","2","Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu (2017). Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions. Crop Prot., 94, 137-143. doi:10.1016/j.cropro.2016.12.021. ECOREF#:175406"
"111988499","Thiacloprid","Braconid Wasp","Development","Emergence","LOEL","2015","1","Tabozada,E.O., S.M. Sayed, and S.A. El-Arnaouty (2015). Side Effects of Sublethal Concentration of Two Neonicotinoids; Thiamethoxam and Thiacloprid on the Larval Parasitoid, Bracon brevicornis (Hymenoptera: Braconidae). Am. J. Exp. Agric., 5, (1), 29-35. doi:10.9734/AJEA/2015/12469. ECOREF#:183597"
"111988499","Thiacloprid","Braconid Wasp","Development","Pupation","NOEL","2015","1","Tabozada,E.O., S.M. Sayed, and S.A. El-Arnaouty (2015). Side Effects of Sublethal Concentration of Two Neonicotinoids; Thiamethoxam and Thiacloprid on the Larval Parasitoid, Bracon brevicornis (Hymenoptera: Braconidae). Am. J. Exp. Agric., 5, (1), 29-35. doi:10.9734/AJEA/2015/12469. ECOREF#:183597"
"111988499","Thiacloprid","Braconid Wasp","Development","Stage","NOEL","2015","1","Tabozada,E.O., S.M. Sayed, and S.A. El-Arnaouty (2015). Side Effects of Sublethal Concentration of Two Neonicotinoids; Thiamethoxam and Thiacloprid on the Larval Parasitoid, Bracon brevicornis (Hymenoptera: Braconidae). Am. J. Exp. Agric., 5, (1), 29-35. doi:10.9734/AJEA/2015/12469. ECOREF#:183597"
"111988499","Thiacloprid","Braconid Wasp","Mortality","Lifespan","LOEL","2015","2","Tabozada,E.O., S.M. Sayed, and S.A. El-Arnaouty (2015). Side Effects of Sublethal Concentration of Two Neonicotinoids; Thiamethoxam and Thiacloprid on the Larval Parasitoid, Bracon brevicornis (Hymenoptera: Braconidae). Am. J. Exp. Agric., 5, (1), 29-35. doi:10.9734/AJEA/2015/12469. ECOREF#:183597"
